
BBB123	        22.50        52.50
XYZ333	        11.25
ABC567	        70.00        45.50       105.00        11.25        11.25        11.25        11.25        11.25
JAJ398	       175.00       175.00
RQC888	         2.25        11.25         6.75         6.75         6.75         6.75
TFG878	         6.75       110.00        11.25
ZDC897	        70.00        66.50
DFR897	       150.00        11.25        11.25        11.25        11.25
SGK725	        11.25        52.50
UHJ192	       150.00       115.00
HUG125	         4.50       170.00       170.00       105.00
